run_count,model,vector_dimension,total_vectors,ef_construction,M,index_time,memory_used,num_queries_percent,K,query_time,recall_at_k
3,nmslib_hnsw,200,10000,300,8,0.12585163116455078,-0.56640625,10,10,0.024185657501220703,0.7553
1,nmslib_hnsw,200,10000,300,12,0.15865683555603027,-0.00390625,10,10,0.030071735382080078,0.879
2,nmslib_hnsw,200,10000,300,12,0.16011333465576172,1.12109375,10,10,0.030956268310546875,0.8821
3,nmslib_hnsw,200,10000,300,12,0.16800189018249512,-0.56640625,10,10,0.03098297119140625,0.8829
1,nmslib_hnsw,200,10000,300,16,0.20174193382263184,0.0,10,10,0.03829455375671387,0.9295
2,nmslib_hnsw,200,10000,300,16,0.2094740867614746,1.125,10,10,0.03888535499572754,0.9291
3,nmslib_hnsw,200,10000,300,16,0.20482945442199707,0.5625,10,10,0.04036092758178711,0.9299
1,nmslib_hnsw,200,10000,300,32,0.3065676689147949,0.5625,10,10,0.05556154251098633,0.9801
2,nmslib_hnsw,200,10000,300,32,0.3158390522003174,-0.5625,10,10,0.054865360260009766,0.9777
3,nmslib_hnsw,200,10000,300,32,0.2896108627319336,1.125,10,10,0.057157278060913086,0.9805
1,nmslib_hnsw,200,50000,50,8,0.2776010036468506,0.5625,10,10,0.18082141876220703,0.33242
2,nmslib_hnsw,200,50000,50,8,0.2598536014556885,0.55859375,10,10,0.17012763023376465,0.33058
3,nmslib_hnsw,200,50000,50,8,0.2672536373138428,1.12109375,10,10,0.16151046752929688,0.32916
1,nmslib_hnsw,200,50000,50,12,0.43851804733276367,-0.00390625,10,10,0.2532355785369873,0.46136
2,nmslib_hnsw,200,50000,50,12,0.4142282009124756,-0.00390625,10,10,0.2253093719482422,0.45922
3,nmslib_hnsw,200,50000,50,12,0.40897321701049805,-0.56640625,10,10,0.22600889205932617,0.46384
1,nmslib_hnsw,200,50000,50,16,0.5438463687896729,0.5625,10,10,0.2965412139892578,0.55456
2,nmslib_hnsw,200,50000,50,16,0.5429573059082031,-0.00390625,10,10,0.3140895366668701,0.55496
3,nmslib_hnsw,200,50000,50,16,0.5651521682739258,-0.56640625,10,10,0.32275986671447754,0.55786
1,nmslib_hnsw,200,50000,50,32,1.0237486362457275,0.55859375,10,10,0.5497279167175293,0.7179
2,nmslib_hnsw,200,50000,50,32,1.0053503513336182,-0.00390625,10,10,0.5097436904907227,0.7153
3,nmslib_hnsw,200,50000,50,32,1.0226924419403076,0.0,10,10,0.5461301803588867,0.71952
1,nmslib_hnsw,200,50000,100,8,0.36934423446655273,-0.00390625,10,10,0.15799498558044434,0.37764
2,nmslib_hnsw,200,50000,100,8,0.3660271167755127,-0.00390625,10,10,0.16138911247253418,0.384
3,nmslib_hnsw,200,50000,100,8,0.3987298011779785,-0.56640625,10,10,0.16044306755065918,0.3845
1,nmslib_hnsw,200,50000,100,12,0.5606935024261475,-0.00390625,10,10,0.22184491157531738,0.53182
2,nmslib_hnsw,200,50000,100,12,0.5691735744476318,-0.00390625,10,10,0.23334693908691406,0.53418
3,nmslib_hnsw,200,50000,100,12,0.5612571239471436,-0.56640625,10,10,0.22992873191833496,0.53242
1,nmslib_hnsw,200,50000,100,16,0.7915060520172119,-0.56640625,10,10,0.2868316173553467,0.63608
